title,link,scraped_time
Show HN: Channel Surfer – Watch YouTube like it’s cable TV (channelsurfer.tv),https://channelsurfer.tv,2026-03-14 04:56:25.817206
Can I run AI locally? (canirun.ai),https://www.canirun.ai/,2026-03-14 04:56:25.817206
Mouser: An open source alternative to Logi-Plus mouse software (github.com/tombadash),https://github.com/TomBadash/MouseControl,2026-03-14 04:56:25.817206
Hammerspoon (github.com/hammerspoon),https://github.com/Hammerspoon/hammerspoon,2026-03-14 04:56:25.817206
Qatar helium shutdown puts chip supply chain on a two-week clock (tomshardware.com),https://www.tomshardware.com/tech-industry/qatar-helium-shutdown-puts-chip-supply-chain-on-a-two-week-clock,2026-03-14 04:56:25.817206
Parallels confirms MacBook Neo can run Windows in a virtual machine (macrumors.com),https://www.macrumors.com/2026/03/13/macbook-neo-runs-windows-11-vm/,2026-03-14 04:56:25.817206
Stanford researchers report first recording of a blue whale's heart rate (2019) (stanford.edu),https://news.stanford.edu/stories/2019/11/first-ever-recording-blue-whales-heart-rate,2026-03-14 04:56:25.817206
New 'negative light' technology hides data transfers in plain sight (unsw.edu.au),https://www.unsw.edu.au/newsroom/news/2026/03/New-negative-light-technology-hides-data-transfers-in-plain-sight,2026-03-14 04:56:25.817206
TUI Studio – visual terminal UI design tool (tui.studio),https://tui.studio/,2026-03-14 04:56:25.817206
Show HN: Context Gateway – Compress agent context before it hits the LLM (github.com/compresr-ai),https://github.com/Compresr-ai/Context-Gateway,2026-03-14 04:56:25.817206
Elon Musk pushes out more xAI founders as AI coding effort falters (ft.com),https://www.ft.com/content/e5fbc6c2-d5a6-4b97-a105-6a96ea849de5,2026-03-14 04:56:25.817206
Using Thunderbird for RSS (rubenerd.com),https://rubenerd.com/using-thunderbird-for-rss/,2026-03-14 04:56:25.817206
Your phone is an entire computer (medhir.com),https://medhir.com/blog/your-phone-is-an-entire-computer,2026-03-14 04:56:25.817206
John Carmack about open source and anti-AI activists (twitter.com/id_aa_carmack),https://twitter.com/id_aa_carmack/status/2032460578669691171,2026-03-14 04:56:25.817206
Launch HN: Captain (YC W26) – Automated RAG for Files (runcaptain.com),https://www.runcaptain.com/,2026-03-14 04:56:25.817206
Bucketsquatting is finally dead (onecloudplease.com),https://onecloudplease.com/blog/bucketsquatting-is-finally-dead,2026-03-14 04:56:25.817206
"The Wyden Siren Goes Off Again: We'll Be ""Stunned"" by NSA Under Section 702 (techdirt.com)",https://www.techdirt.com/2026/03/12/the-wyden-siren-goes-off-again-well-be-stunned-by-what-the-nsa-is-doing-under-section-702/,2026-03-14 04:56:25.817206
Launch HN: Spine Swarm (YC S23) – AI agents that collaborate on a visual canvas (getspine.ai),https://www.getspine.ai/,2026-03-14 04:56:25.817206
Lost Doctor Who Episodes Found (bbc.co.uk),https://www.bbc.co.uk/news/articles/c4g7kwq1k11o,2026-03-14 04:56:25.817206
Exploring JEPA for real-time speech translation (startpinch.com),https://www.startpinch.com/research/en/jepa-encoder-translation/,2026-03-14 04:56:25.817206
Source code of Swedish e-government services has been leaked (darkwebinformer.com),https://darkwebinformer.com/full-source-code-of-swedens-e-government-platform-leaked-from-compromised-cgi-sverige-infrastructure/,2026-03-14 04:56:25.817206
You deleted everything and AWS is still charging you? (jvogel.me),https://jvogel.me/posts/2026/aws-still-charging-you/,2026-03-14 04:56:25.817206
"Meta Platforms: Lobbying, dark money, and the App Store Accountability Act (github.com/upper-up)",https://github.com/upper-up/meta-lobbying-and-other-findings,2026-03-14 04:56:25.817206
Hyperlinks in terminal emulators (gist.github.com),https://gist.github.com/egmontkob/eb114294efbcd5adb1944c9f3cb5feda,2026-03-14 04:56:25.817206
The wild six weeks for NanoClaw's creator that led to a deal with Docker (techcrunch.com),https://techcrunch.com/2026/03/13/the-wild-six-weeks-for-nanoclaws-creator-that-led-to-a-deal-with-docker/,2026-03-14 04:56:25.817206
Okmain: How to pick an OK main colour of an image (dgroshev.com),https://dgroshev.com/blog/okmain/,2026-03-14 04:56:25.817206
The Accidental Room (2018) (99percentinvisible.org),https://99percentinvisible.org/episode/the-accidental-room/,2026-03-14 04:56:25.817206
Militaries are scrambling to create their own Starlink (newscientist.com),https://www.newscientist.com/article/2517766-why-the-worlds-militaries-are-scrambling-to-create-their-own-starlink/,2026-03-14 04:56:25.817206
Executing programs inside transformers with exponentially faster inference (percepta.ai),https://www.percepta.ai/blog/can-llms-be-computers,2026-03-14 04:56:25.817206
E2E encrypted messaging on Instagram will no longer be supported after 8 May (help.instagram.com),https://help.instagram.com/491565145294150,2026-03-14 04:56:25.817206
